spacecraft,groundstation,station_code,station_mode,filter_station,aos,los,aos_doy,los_doy,aos_time,los_time,aos_mt,doy,duration_min,peak_elevation,az_path,in_sun,mode,deleted,color,source_file,is_leafspace
COSMO,FAIRBANKS,UAF,UAF UHF,FAIRBANKS,2026-09-27T01:10:06.336274+00:00,2026-09-27T01:20:20.527377+00:00,2026/270-01:10:06,2026/270-01:20:20,01:10:06,01:20:20,19:10:06,2026/270,10.2 min,16.2°,SW→NW,YES,UHF,False,#b88df7,passes_manual.pkl,False
AEPEX,FAIRBANKS,UAF,UAF UHF,FAIRBANKS,2026-09-27T01:31:22.278358+00:00,2026-09-27T01:40:56.846573+00:00,2026/270-01:31:22,2026/270-01:40:56,01:31:22,01:40:56,19:31:22,2026/270,9.6 min,12.0°,SW→NW,YES,UHF,False,#ff5050,passes_manual.pkl,False
CANVAS,FAIRBANKS,UAF,UAF DELETED,FAIRBANKS,2026-09-27T02:23:05.777402+00:00,2026-09-27T02:34:04.227134+00:00,2026/270-02:23:05,2026/270-02:34:04,02:23:05,02:34:04,20:23:05,2026/270,11.0 min,31.6°,W→SE,YES,DELETED,True,#777777,passes_manual.pkl,False
CANVAS,BOULDER,LASP,LASP UHF+SBD,BOULDER,2026-09-27T02:32:06.163092+00:00,2026-09-27T02:43:30.419247+00:00,2026/270-02:32:06,2026/270-02:43:30,02:32:06,02:43:30,20:32:06,2026/270,11.4 min,65.7°,NW→SE,YES,UHF+SBD,False,#00d7ff,passes_manual.pkl,False
COSMO,FAIRBANKS,UAF,UAF DELETED,FAIRBANKS,2026-09-27T02:48:35.827637+00:00,2026-09-27T02:52:59.493582+00:00,2026/270-02:48:35,2026/270-02:52:59,02:48:35,02:52:59,20:48:35,2026/270,4.4 min,1.6°,W→NW,YES,DELETED,True,#777777,passes_manual.pkl,False
CANVAS,FAIRBANKS,UAF,UAF DELETED,FAIRBANKS,2026-09-27T04:00:18.651281+00:00,2026-09-27T04:10:11.074063+00:00,2026/270-04:00:18,2026/270-04:10:11,04:00:18,04:10:11,22:00:18,2026/270,9.9 min,15.4°,W→S,YES,DELETED,True,#777777,passes_manual.pkl,False
CANVAS,BOULDER,LASP,LASP UHF,BOULDER,2026-09-27T04:11:16.499687+00:00,2026-09-27T04:17:39.280405+00:00,2026/270-04:11:16,2026/270-04:17:39,04:11:16,04:17:39,22:11:16,2026/270,6.4 min,3.9°,W→SW,YES,UHF,False,#00d7ff,passes_manual.pkl,False
CANVAS,FAIRBANKS,UAF,UAF UHF,FAIRBANKS,2026-09-27T05:38:24.082602+00:00,2026-09-27T05:44:13.019771+00:00,2026/270-05:38:24,2026/270-05:44:13,05:38:24,05:44:13,23:38:24,2026/270,5.8 min,3.2°,W→SW,YES,UHF,False,#00d7ff,passes_manual.pkl,False
COSMO,BOULDER,LASP,LASP UHF,BOULDER,2026-09-27T09:23:57.135919+00:00,2026-09-27T09:34:50.510356+00:00,2026/270-09:23:57,2026/270-09:34:50,09:23:57,09:34:50,03:23:57,2026/270,10.9 min,25.2°,NE→S,YES,UHF,False,#b88df7,passes_manual.pkl,False
AEPEX,BOULDER,LASP,LASP UHF+SBD,BOULDER,2026-09-27T09:44:16.425650+00:00,2026-09-27T09:55:38.304658+00:00,2026/270-09:44:16,2026/270-09:55:38,09:44:16,09:55:38,03:44:16,2026/270,11.4 min,44.3°,N→S,YES,UHF+SBD,False,#ff5050,passes_manual.pkl,False
COSMO,FAIRBANKS,UAF,UAF DELETED,FAIRBANKS,2026-09-27T10:53:21.528628+00:00,2026-09-27T11:01:08.449208+00:00,2026/270-10:53:21,2026/270-11:01:08,10:53:21,11:01:08,04:53:21,2026/270,7.8 min,6.1°,NE→SE,YES,DELETED,True,#777777,passes_manual.pkl,False
COSMO,BOULDER,LASP,LASP UHF,BOULDER,2026-09-27T10:57:56.659714+00:00,2026-09-27T11:08:17.292816+00:00,2026/270-10:57:56,2026/270-11:08:17,10:57:56,11:08:17,04:57:56,2026/270,10.3 min,19.3°,N→SW,YES,UHF,False,#b88df7,passes_manual.pkl,False
AEPEX,FAIRBANKS,UAF,UAF DELETED,FAIRBANKS,2026-09-27T11:13:38.378914+00:00,2026-09-27T11:22:28.068502+00:00,2026/270-11:13:38,2026/270-11:22:28,11:13:38,11:22:28,05:13:38,2026/270,8.8 min,8.9°,NE→SE,YES,DELETED,True,#777777,passes_manual.pkl,False
AEPEX,BOULDER,LASP,LASP UHF,BOULDER,2026-09-27T11:18:45.818289+00:00,2026-09-27T11:28:01.405750+00:00,2026/270-11:18:45,2026/270-11:28:01,11:18:45,11:28:01,05:18:45,2026/270,9.3 min,11.8°,N→SW,YES,UHF,False,#ff5050,passes_manual.pkl,False
COSMO,FAIRBANKS,UAF,UAF UHF,FAIRBANKS,2026-09-27T12:26:48.787117+00:00,2026-09-27T12:37:56.688130+00:00,2026/270-12:26:48,2026/270-12:37:56,12:26:48,12:37:56,06:26:48,2026/270,11.1 min,29.0°,N→S,YES,UHF,False,#b88df7,passes_manual.pkl,False
AEPEX,FAIRBANKS,UAF,UAF UHF,FAIRBANKS,2026-09-27T12:47:14.484868+00:00,2026-09-27T12:58:37.625791+00:00,2026/270-12:47:14,2026/270-12:58:37,12:47:14,12:58:37,06:47:14,2026/270,11.4 min,39.5°,N→S,YES,UHF,False,#ff5050,passes_manual.pkl,False
COSMO,FAIRBANKS,UAF,UAF UHF,FAIRBANKS,2026-09-27T14:00:46.480778+00:00,2026-09-27T14:12:16.054442+00:00,2026/270-14:00:46,2026/270-14:12:16,14:00:46,14:12:16,08:00:46,2026/270,11.5 min,56.7°,N→SW,YES,UHF,False,#b88df7,passes_manual.pkl,False
AEPEX,FAIRBANKS,UAF,UAF UHF,FAIRBANKS,2026-09-27T14:21:11.842100+00:00,2026-09-27T14:32:30.873494+00:00,2026/270-14:21:11,2026/270-14:32:30,14:21:11,14:32:30,08:21:11,2026/270,11.3 min,41.7°,N→SW,YES,UHF,False,#ff5050,passes_manual.pkl,False
COSMO,FAIRBANKS,UAF,UAF UHF,FAIRBANKS,2026-09-27T15:34:45.826062+00:00,2026-09-27T15:44:50.607247+00:00,2026/270-15:34:45,2026/270-15:44:50,15:34:45,15:44:50,09:34:45,2026/270,10.1 min,16.7°,N→W,YES,UHF,False,#b88df7,passes_manual.pkl,False
AEPEX,FAIRBANKS,UAF,UAF UHF,FAIRBANKS,2026-09-27T15:55:07.077220+00:00,2026-09-27T16:04:46.505023+00:00,2026/270-15:55:07,2026/270-16:04:46,15:55:07,16:04:46,09:55:07,2026/270,9.7 min,13.8°,N→W,YES,UHF,False,#ff5050,passes_manual.pkl,False
CANVAS,BOULDER,LASP,LASP UHF,BOULDER,2026-09-27T16:17:39.047581+00:00,2026-09-27T16:24:52.907961+00:00,2026/270-16:17:39,2026/270-16:24:52,16:17:39,16:24:52,10:17:39,2026/270,7.2 min,5.3°,SE→E,YES,UHF,False,#00d7ff,passes_manual.pkl,False
COSMO,FAIRBANKS,UAF,UAF UHF,FAIRBANKS,2026-09-27T17:08:25.531497+00:00,2026-09-27T17:16:22.090430+00:00,2026/270-17:08:25,2026/270-17:16:22,17:08:25,17:16:22,11:08:25,2026/270,7.9 min,7.1°,NE→NW,YES,UHF,False,#b88df7,passes_manual.pkl,False
AEPEX,FAIRBANKS,UAF,UAF UHF,FAIRBANKS,2026-09-27T17:28:36.508425+00:00,2026-09-27T17:36:11.195881+00:00,2026/270-17:28:36,2026/270-17:36:11,17:28:36,17:36:11,11:28:36,2026/270,7.6 min,6.2°,NE→NW,YES,UHF,False,#ff5050,passes_manual.pkl,False
CANVAS,BOULDER,LASP,LASP UHF+SBD,BOULDER,2026-09-27T17:52:14.635168+00:00,2026-09-27T18:03:44.314720+00:00,2026/270-17:52:14,2026/270-18:03:44,17:52:14,18:03:44,11:52:14,2026/270,11.5 min,77.6°,SW→NE,YES,UHF+SBD,False,#00d7ff,passes_manual.pkl,False
COSMO,FAIRBANKS,UAF,UAF UHF,FAIRBANKS,2026-09-27T18:41:07.311124+00:00,2026-09-27T18:48:05.539551+00:00,2026/270-18:41:07,2026/270-18:48:05,18:41:07,18:48:05,12:41:07,2026/270,7.0 min,5.0°,NE→NW,YES,UHF,False,#b88df7,passes_manual.pkl,False
AEPEX,FAIRBANKS,UAF,UAF UHF,FAIRBANKS,2026-09-27T19:00:59.992694+00:00,2026-09-27T19:08:05.581402+00:00,2026/270-19:00:59,2026/270-19:08:05,19:00:59,19:08:05,13:00:59,2026/270,7.1 min,5.2°,NE→NW,YES,UHF,False,#ff5050,passes_manual.pkl,False
CANVAS,BOULDER,LASP,LASP UHF,BOULDER,2026-09-27T19:31:00.251984+00:00,2026-09-27T19:40:44.566507+00:00,2026/270-19:31:00,2026/270-19:40:44,19:31:00,19:40:44,13:31:00,2026/270,9.7 min,13.0°,W→NE,YES,UHF,False,#00d7ff,passes_manual.pkl,False
COSMO,CL01-04,CL01-04,CL01-04 SBD,LEAF SPACE,2026-09-27T19:37:25.456000+00:00,2026-09-27T19:46:44.224000+00:00,2026/270-19:37:25,2026/270-19:46:44,19:37:25,19:46:44,13:37:25,2026/270,9.3 min,48.4°,--→--,YES,SBD,False,#b88df7,passes_leafspace.pkl,True
COSMO,BOULDER,LASP,LASP UHF,BOULDER,2026-09-27T20:03:14.721882+00:00,2026-09-27T20:12:24.269003+00:00,2026/270-20:03:14,2026/270-20:12:24,20:03:14,20:12:24,14:03:14,2026/270,9.2 min,11.3°,SE→N,YES,UHF,False,#b88df7,passes_manual.pkl,False
COSMO,FAIRBANKS,UAF,UAF DELETED,FAIRBANKS,2026-09-27T20:12:40.687154+00:00,2026-09-27T20:21:03.312034+00:00,2026/270-20:12:40,2026/270-20:21:03,20:12:40,20:21:03,14:12:40,2026/270,8.4 min,8.4°,E→N,YES,DELETED,True,#777777,passes_manual.pkl,False
AEPEX,BOULDER,LASP,LASP UHF+SBD,BOULDER,2026-09-27T20:22:45.960723+00:00,2026-09-27T20:33:00.968936+00:00,2026/270-20:22:45,2026/270-20:33:00,20:22:45,20:33:00,14:22:45,2026/270,10.3 min,18.6°,SE→N,YES,UHF+SBD,False,#ff5050,passes_manual.pkl,False
AEPEX,FAIRBANKS,UAF,UAF DELETED,FAIRBANKS,2026-09-27T20:32:25.404655+00:00,2026-09-27T20:41:14.807598+00:00,2026/270-20:32:25,2026/270-20:41:14,20:32:25,20:41:14,14:32:25,2026/270,8.8 min,9.9°,E→N,YES,DELETED,True,#777777,passes_manual.pkl,False
CANVAS,FAIRBANKS,UAF,UAF DELETED,FAIRBANKS,2026-09-27T21:07:56.018552+00:00,2026-09-27T21:16:33.416969+00:00,2026/270-21:07:56,2026/270-21:16:33,21:07:56,21:16:33,15:07:56,2026/270,8.6 min,9.0°,S→E,YES,DELETED,True,#777777,passes_manual.pkl,False
COSMO,CL01-02,CL01-02,CL01-02 SBD,LEAF SPACE,2026-09-27T21:11:41.234000+00:00,2026-09-27T21:19:42.442000+00:00,2026/270-21:11:41,2026/270-21:19:42,21:11:41,21:19:42,15:11:41,2026/270,8.0 min,20.6°,--→--,YES,SBD,False,#b88df7,passes_leafspace.pkl,True
